,job_title,working_type,salary_from,salary_to,experience
165,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
166,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
167,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
168,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
169,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
170,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
171,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
172,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
173,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
174,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
175,Продавец,полная занятость,42500.0,42500.0,без опыта
176,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
177,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
178,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
179,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
180,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
181,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
182,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
183,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
184,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
185,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
186,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
187,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
188,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
189,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
190,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
191,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
192,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
193,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
194,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
195,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
196,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
197,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
198,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
199,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
200,Продавец,полная занятость,42500.0,42500.0,без опыта
