,job_title,working_type,salary_from,salary_to,experience
301,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
302,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
303,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
304,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
305,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
306,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
307,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
308,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
309,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
310,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
311,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
312,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
313,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
314,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
315,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
316,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
317,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
318,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
319,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
320,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
321,Менеджер по продажам,полная занятость,,,1-3 года
322,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
323,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
324,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
325,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
326,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
327,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
328,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
329,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
330,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
331,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
332,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
333,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
334,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
335,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
336,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
337,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
